0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
up,0,1864.6242499999996,440,2151.722749999999,1730,2122.684249999999,2240,1972.3299999999997,-15,1156.73175,440,1264.4119999999998,1780,1232.9735,2200,1195.0825,-30,932.32425,430,1072.6452499999998,1710,1051.5822499999997,2290,967.27825
open,0,1939.5562499999996,460,2093.7197499999993,1955,2044.9329999999989,2000,2037.8194999999994,0,1177.4545,495,1379.2427500000001,1837,1343.024,2010,1330.0087499999997,0,954.2222500000001,530,1031.4219999999998,1720,1017.9404999999999,2020,1001.489
up,0,1913.9062499999995,510,2105.596249999999,2150,2066.1852499999995,2630,1952.6975000000004,40,1201.0062500000001,510,1250.13,2180,1219.4919999999997,2660,1191.2655000000007,-10,945.38175,480,1045.1235,2140,1021.961,2690,963.4482500000001
open,0,1921.98025,520,2077.9479999999994,2240,2033.5567499999995,2750,1953.5359999999994,0,1172.2590000000002,520,1341.27875,2180,1305.7332499999998,2740,1213.71525,30,943.86025,520,1012.0354999999998,2170,992.86175,2650,960.099
up,0,1912.6487499999998,460,2091.5522499999993,1940,2050.4559999999997,2440,1940.1932499999994,40,1181.4335,470,1242.0430000000001,1930,1211.5492499999998,2300,1187.6592499999997,-40,943.6872500000001,470,1049.0682499999998,1930,1018.6702499999999,2440,958.9977500000001
open,0,1912.7232500000005,630,2052.7329999999993,2000,2010.6109999999994,2630,1940.4379999999999,25,1165.00175,625,1331.58125,2005,1296.66125,2665,1202.0555000000002,-25,943.7445000000001,635,1015.0007499999998,1995,993.0840000000003,2595,954.2342500000002
up,0,1902.5707500000003,530,2097.3472499999993,2020,2042.1164999999999,2420,1963.5429999999994,100,1177.6745,530,1237.9205000000002,2090,1196.6092500000002,2380,1180.8812500000001,50,944.7732499999995,530,1060.04775,2020,1028.8647500000002,2530,965.0572500000002
open,0,1913.8217499999998,450,2024.4767499999991,2290,1984.3309999999994,2580,1940.1562499999995,0,1162.0542500000004,560,1324.8625,2140,1296.9555000000003,2880,1194.78275,0,946.4719999999998,540,1005.37775,2130,989.0982500000003,2640,957.149
up,0,1889.051499999999,560,2079.0489999999995,2140,2002.2589999999996,2370,1952.2545000000002,0,1167.31,550,1230.2762500000001,1990,1197.6810000000003,2410,1174.9544999999998,0,939.1605,520,1045.24725,1970,1019.3287499999997,2450,962.6965000000001
up,0,1887.0782500000003,510,2060.4852499999997,2230,1996.6995,2630,1925.3034999999995,60,1161.209,520,1219.27975,2230,1181.80725,2590,1163.0925000000002,-10,934.0440000000003,510,1037.1069999999997,2010,1017.83925,2740,947.6009999999999
