0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
up,0,1889.5000000000002,470,2078.5274999999992,1330,2030.3412499999993,1780,1949.4662500000004,-5,1119.69725,430,1188.5512499999998,1270,1171.0532500000002,1780,1137.30275,-10,955.3619999999999,440,1136.0614999999998,1350,1106.2854999999995,1980,993.1912500000001
up,0,1892.652,470,2047.5095000000001,1990,1991.1452499999991,2430,1919.7887500000006,70,1123.1442499999998,470,1180.17925,1880,1155.4095,2140,1144.0344999999998,-30,966.5530000000002,500,1125.05375,1870,1093.47425,2510,996.3422500000003
up,0,1892.7377499999998,550,2085.1132500000003,2050,2004.4332499999994,2280,1965.7812499999998,70,1119.367,540,1194.1797500000005,1990,1155.15725,2200,1142.60725,35,969.5284999999999,530,1133.92125,1930,1092.1714999999995,2550,994.3485000000002
up,0,1907.9947499999998,460,2024.123249999999,1690,1989.6527499999995,2030,1935.7475,10,1124.8962499999998,500,1172.54225,1820,1140.0677500000002,2020,1130.6805,-50,969.1749999999998,460,1117.4425,1480,1094.6104999999998,2190,986.2147500000001
up,0,1905.4989999999998,410,2030.3007499999992,2010,1992.6674999999996,2210,1957.4074999999998,0,1119.5072499999999,420,1176.7850000000003,1920,1157.6255,2210,1141.2587499999995,-140,964.1930000000001,400,1108.2509999999997,1960,1081.3795,2590,986.1322500000001
up,0,1901.0427499999998,510,2035.3355,2010,1987.1049999999998,2260,1942.2044999999991,40,1123.755,510,1190.15225,1955,1156.55025,2260,1139.849,0,969.4124999999999,500,1123.3974999999998,1900,1089.4662500000002,2500,991.4842500000001
up,0,1896.5905,510,2030.777499999999,1980,1973.22375,2340,1918.4467499999992,80,1126.92475,510,1179.8335000000002,1800,1155.8220000000001,1970,1146.4815,-40,967.1392500000001,510,1118.5142499999997,1800,1087.5067499999998,2530,980.2320000000001
up,0,1889.53225,480,2032.8179999999993,1830,1993.4364999999996,2260,1926.9997499999997,25,1120.9032499999998,485,1182.6955,1845,1156.67025,2065,1142.688,-25,964.7065,475,1121.06625,1815,1090.24375,2455,988.2097500000001
up,0,1894.2804999999998,500,2025.5599999999995,2025,1989.3974999999996,2490,1926.3944999999992,80,1121.106,500,1175.3389999999997,1990,1151.7207499999997,2320,1134.7077499999998,-80,967.7275000000001,500,1118.8574999999996,2060,1077.8304999999998,2660,987.6905000000004
up,0,1902.2032499999996,450,2007.829749999999,2010,1974.1850000000002,2200,1942.7844999999993,40,1119.2945,450,1163.10375,2010,1145.6927500000004,2230,1129.6859999999997,-100,968.5477500000002,450,1101.5987499999999,1830,1083.2597500000002,2400,992.4185000000002
up,0,1897.8139999999999,500,2086.75225,2040,2050.224499999999,2660,1926.5077499999998,80,1116.4497499999995,510,1199.9075000000003,2060,1169.7787500000002,2470,1136.4942500000002,-10,969.9300000000001,500,1130.7072500000002,1970,1112.3782499999995,2730,991.8395000000002
up,0,1894.5129999999992,530,2077.8645,2050,2028.0472499999996,2370,1953.9530000000002,20,1121.4499999999998,520,1229.44,2040,1177.2665,2400,1149.9765,-10,973.1439999999998,490,1151.1019999999996,1880,1110.1929999999998,2600,1003.46825
