0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
up,0,1971.011999999999,520,2232.1455000000005,1840,2197.913499999999,2420,2017.6677499999996,210,1278.8455,520,1306.4227500000002,2080,1261.5230000000006,2310,1242.18075,-10,991.1800000000001,500,1157.8822499999999,1830,1135.939,2580,1012.7130000000001
down,0,1958.8652499999994,570,2214.2699999999995,1830,2211.59125,2500,2006.24125,-90,1213.2374999999997,520,1599.0659999999996,2010,1586.5994999999991,2495,1349.9875000000002,80,991.3632499999999,530,1132.194,1830,1124.3664999999996,2490,1010.7255000000002
up,0,1954.9877499999996,460,2186.9322499999994,1690,2157.7302499999996,2240,1993.2822499999993,80,1266.5465,420,1296.1202500000002,1680,1274.1757499999994,1860,1259.2844999999998,-100,982.1137500000002,450,1147.243,1710,1127.1354999999996,2470,1003.7369999999999
down,0,1951.01075,580,2192.387,1960,2172.725249999999,2400,2018.0937499999998,-10,1214.7682500000003,550,1566.9175000000002,2000,1556.49325,2560,1323.8760000000002,20,988.0802500000001,560,1098.292,1810,1097.62425,2500,1003.81175
up,0,1949.8392499999998,520,2153.9047499999997,2210,2096.0584999999996,2650,1979.5727499999996,120,1256.5939999999994,290,1267.9502499999999,2175,1244.0065000000002,2720,1225.3637500000002,-10,981.8762500000003,500,1107.3782499999998,2140,1076.3925000000002,2790,987.864
down,0,1926.50025,670,2189.559249999999,1790,2164.865249999999,2400,1991.105999999999,-10,1204.517,600,1564.93775,1830,1559.35,2480,1314.1424999999997,90,969.4147499999998,680,1091.4522500000003,1680,1107.6619999999998,2480,990.8977500000001
up,0,1948.3742499999998,650,2174.6707499999998,1950,2117.6217499999993,2490,1983.9007499999993,250,1245.5882499999998,670,1282.94625,1940,1249.7682500000003,2160,1234.6752499999998,10,968.7047499999998,650,1081.3780000000004,1870,1057.3732499999996,2440,982.1857500000001
down,0,1935.788749999999,530,2171.564249999999,1840,2134.2217499999992,2440,1985.9312499999996,-50,1201.6052500000003,530,1579.6204999999998,1950,1547.5715000000005,2690,1309.0955000000001,60,960.0385,530,1080.5332500000002,1840,1062.8902499999997,2510,984.7730000000001
up,0,1935.49525,470,2133.5032499999993,2050,2095.5024999999996,2560,1972.7397499999993,-40,1265.80575,240,1273.8482500000005,2040,1257.355,2635,1244.5405000000003,-80,965.1087499999999,460,1068.2932499999997,2040,1046.7279999999998,2710,973.556
down,0,1923.81975,500,2141.4124999999995,1770,2091.3202499999998,2310,1975.09325,-110,1203.64725,500,1554.703,1830,1520.3705000000002,2530,1290.3595,30,960.7769999999999,510,1053.2432499999998,1770,1033.6455,2370,974.6664999999998
