0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
down,0,1894.97175,510,2046.6739999999995,1620,2027.4649999999992,2240,1922.5217500000003,20,1186.1962500000004,490,1482.4452500000002,1720,1458.70375,2290,1288.7465,40,944.9997500000001,510,1019.0975000000003,1600,1016.2507499999998,1870,995.0342500000002
up,0,1893.3329999999994,550,2131.5609999999983,1980,2094.3017499999996,2500,1977.6202499999995,-5,1241.34025,370,1252.4947499999998,2390,1216.9819999999997,2620,1205.7560000000003,-10,946.7042499999998,520,1093.76225,1980,1077.8235,2560,980.3559999999997
down,0,1926.7154999999998,560,2098.1499999999987,1760,2033.229749999999,2000,1988.80025,-40,1190.751,560,1559.4410000000003,1860,1508.0572500000005,2520,1305.765,-10,963.5424999999998,560,1085.4344999999998,1760,1049.5252499999997,2400,985.2557500000001
up,0,1903.4662500000004,500,2125.7877499999995,1440,2089.6745,1940,1972.0164999999997,130,1248.3859999999993,300,1258.2585,1950,1218.238,2130,1208.247,-50,964.7182500000001,480,1095.8647499999997,1460,1077.8222500000002,1970,989.5260000000003
down,0,1908.0524999999998,520,2045.8144999999997,1960,1984.2669999999994,2200,1950.3000000000002,-60,1191.9197499999998,510,1527.42,1900,1481.6670000000001,2530,1288.4495,-10,960.7692499999998,520,1081.2847499999998,1860,1036.0767499999997,2430,983.0159999999998
up,0,1895.8397499999996,520,2120.3247499999984,1860,2081.7014999999997,2390,1970.3867499999994,-15,1244.0095000000001,520,1252.8830000000003,1800,1228.2567499999998,2495,1206.864,-30,961.3554999999999,520,1094.0007499999997,1740,1074.3435,2600,980.1805000000002
down,0,1898.2312499999998,460,2053.59875,1580,2003.0917499999996,1790,1974.4695,-50,1193.1392500000002,450,1539.8435,1610,1499.0470000000005,2280,1293.26325,-50,960.4889999999998,460,1123.6622499999999,1590,1080.54175,2130,1005.2082499999999
up,0,1903.6424999999992,520,2119.2354999999993,1910,2080.10625,2410,1964.904,20,1240.216,515,1251.7352499999997,1460,1232.1294999999998,2445,1208.5550000000003,40,973.0327500000001,510,1097.84175,1870,1076.51125,2480,994.8360000000002
down,0,1900.7285000000002,460,2051.3244999999997,1800,2010.817999999999,2230,1935.4507500000002,-60,1189.8932499999996,480,1530.6954999999998,1840,1502.6055000000006,2500,1292.3532500000001,-50,967.0809999999999,480,1112.8754999999996,1690,1096.57175,2590,991.5395
up,0,1901.1354999999999,480,2111.0167499999993,1720,2058.7802499999993,2120,1964.15975,90,1221.6377499999996,320,1237.7607500000004,1650,1211.695,2400,1188.228,-50,971.55875,470,1099.6229999999998,1580,1078.929,2380,984.0510000000002
down,0,1914.5134999999998,460,2037.1887499999993,1590,1990.9452499999995,2040,1932.87275,-15,1202.7205,450,1527.6007500000005,1670,1480.0925000000002,2420,1279.4084999999998,-30,970.1705,450,1088.5719999999997,1530,1054.5175,2180,990.2735
