0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
down,0,1848.4304999999997,520,2193.733249999999,1780,2128.6274999999996,2470,1940.3625000000004,30,1143.3182500000003,490,1588.9189999999999,1860,1550.462,2470,1323.1877499999998,60,950.6362500000002,510,1180.4640000000002,1740,1142.1287500000003,2360,1027.0567499999997
open,0,1914.59975,540,2095.2694999999994,2190,2046.0804999999993,2860,1927.9654999999998,0,1271.9387499999996,500,1358.5845000000002,2130,1326.3104999999998,2740,1244.8505000000002,80,1001.0004999999999,540,1061.5064999999997,2210,1040.8267500000002,2870,990.0505000000002
down,0,1910.09975,510,2148.3757499999992,1720,2100.3692499999993,2250,1964.5269999999998,0,1231.9332499999996,470,1575.2675000000004,1780,1553.52775,2420,1330.2904999999998,-10,980.9965000000001,490,1162.95575,1740,1138.3765,2420,1026.4329999999998
open,0,1919.9800000000005,510,2038.9144999999994,2210,1995.25525,2640,1929.05475,40,1274.2357499999996,500,1382.2922499999993,1950,1340.8697499999998,2590,1255.5525,50,1002.2427499999999,520,1053.9540000000002,1790,1043.55225,2490,998.8319999999999
down,0,1897.5632499999997,500,2062.4367499999994,1830,2034.709499999999,2070,1996.3282499999996,-50,1225.57725,480,1536.2745000000007,1980,1505.0325000000003,2770,1295.6467499999999,40,980.4205000000002,520,1134.2292499999999,1850,1106.4452499999998,2530,1017.1577500000002
open,0,1904.78825,450,2015.6054999999994,2610,1942.7982499999998,2880,1908.6302500000004,10,1263.8895,450,1349.45825,2290,1296.5665000000001,2760,1246.36575,30,994.635,450,1035.1202499999995,2450,1004.1255,2700,989.2850000000002
down,0,1880.3914999999997,480,2066.6814999999992,2060,2004.7244999999996,2620,1914.8842499999998,-80,1210.1530000000002,450,1534.0837499999998,2090,1492.6370000000002,2670,1308.1795000000002,0,969.5325,490,1130.6707499999995,1990,1085.8330000000003,2560,1013.3122499999997
open,0,1889.8152499999994,460,1992.2064999999993,1950,1974.86675,2160,1944.53,50,1266.6664999999998,360,1315.5504999999998,1760,1297.0322499999997,2380,1236.7849999999999,30,989.8087499999999,460,1018.9784999999998,1950,1004.5884999999997,2160,990.8457500000002
down,0,1875.50075,450,2053.8692499999993,2040,1969.3542499999999,2400,1911.4927500000003,-100,1214.3237499999996,440,1526.15625,2010,1474.43225,2570,1314.1467500000003,-70,969.7557499999999,470,1100.4807499999997,1890,1054.6737499999997,2450,998.91475
open,0,1882.73775,490,1981.7614999999992,2340,1934.8385000000003,2600,1900.6019999999999,80,1255.4575000000002,560,1340.18525,2020,1314.3405,2490,1255.8165000000001,160,974.1665000000002,520,1001.5165000000001,1980,985.8940000000001,2240,970.9614999999998
down,0,1872.2652499999995,510,2153.83975,1520,2117.506999999999,2240,1952.25175,0,1213.2400000000005,500,1570.8062500000005,1680,1540.72,2310,1324.6324999999997,0,946.6995000000002,520,1149.7759999999998,1510,1122.4052499999998,2270,1007.18025
open,0,1900.6680000000003,500,2002.4202499999997,2240,1963.5952499999994,2520,1911.8709999999996,40,1267.2779999999996,540,1387.8232499999997,2090,1334.54,2640,1254.3265,80,977.4752500000002,620,1026.41275,2230,1001.356,2640,970.6252500000003
