0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
up,0,1925.9530000000002,610,2191.04825,1920,2149.3532499999997,2400,2011.959749999999,330,1298.1674999999998,520,1310.5207499999997,2130,1272.4225,2280,1260.6250000000002,10,991.2342500000001,580,1129.8925,1910,1102.8559999999998,2480,1008.95325
down,0,1942.77425,510,2159.5067499999996,1750,2121.952749999999,2450,1979.7514999999996,-50,1225.0482500000003,490,1597.1859999999997,1940,1563.28525,2760,1317.7334999999998,0,980.8237500000004,490,1119.136,1830,1090.597,2440,1009.9242499999999
up,0,1936.9285,490,2112.0370000000003,2220,2055.2594999999997,2690,1951.5315000000005,-25,1286.0087499999995,485,1290.78975,2190,1256.3722499999997,2685,1245.37525,-50,979.521,480,1080.9002500000001,2160,1054.321,2680,991.2555000000001
down,0,1929.1539999999998,470,2084.0795,1670,2030.5242499999997,2120,1961.9602499999999,-180,1224.015,420,1546.9537500000006,1730,1511.2422500000002,2350,1307.65575,-70,971.788,450,1097.58175,1610,1071.6170000000002,2190,1004.6564999999999
up,0,1902.451,480,2169.6487499999994,1890,2070.521499999999,2490,1945.2877499999993,180,1253.0914999999998,470,1276.1652499999998,1860,1236.1042499999999,2470,1220.8870000000002,-10,966.0404999999998,470,1131.8562499999998,1830,1085.4425,2450,992.7802500000001
down,0,1919.5189999999998,480,2078.2104999999992,1600,2042.0702499999995,1830,1999.6284999999993,-90,1205.9057500000004,480,1493.1975000000007,1680,1476.2410000000002,2370,1290.3572499999998,30,974.9425000000002,510,1061.7452499999997,1590,1049.2789999999995,2240,985.9007500000001
up,0,1897.743,580,2087.7489999999993,2010,2061.223999999999,2550,1942.8535,5,1244.9869999999999,590,1245.9797500000004,2010,1228.377,2530,1223.2007500000002,10,960.8359999999998,600,1064.2374999999997,2010,1047.6224999999997,2510,979.60675
down,0,1901.8785,480,2088.9897499999997,1800,2026.4242499999996,2260,1938.23375,-110,1198.78275,470,1552.00475,1830,1506.8487500000006,2350,1317.8485,-10,957.6112500000002,480,1078.6649999999997,1690,1050.5992499999998,2380,978.707
up,0,1894.6162499999998,530,2048.9924999999994,1670,2005.7407499999997,1980,1932.32025,0,1259.1394999999998,525,1259.3685000000003,2060,1234.8282499999998,2520,1219.8535000000002,0,956.5305000000003,520,1049.7724999999998,1510,1039.16275,2010,975.2540000000001
down,0,1888.13175,540,2037.990749999999,1520,2007.0282499999998,2020,1934.1647499999995,-70,1207.9467499999994,490,1510.7767500000004,1590,1482.40125,2190,1294.1159999999998,10,952.1167499999999,500,1053.2060000000001,1480,1033.9944999999998,2190,967.7972500000001
