0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
open,0,1886.47175,410,1966.8317499999998,1850,1949.5052499999993,2060,1919.435,-10,1282.0265,460,1371.2434999999998,1810,1354.9345000000003,2480,1264.293,-10,977.1187500000001,460,1017.5719999999999,1640,1020.829,2310,975.8282500000001
down,0,1862.2717500000003,490,2053.9897499999993,2260,1967.7464999999997,2540,1917.6577499999994,-40,1231.3705,480,1523.8630000000003,2190,1461.3547499999997,2840,1299.6312500000001,0,958.2954999999998,490,1125.7995,2140,1054.511,2840,987.0222500000001
down,0,1848.6012500000002,630,2020.674499999999,2080,1965.6004999999993,2320,1922.1994999999995,30,1214.8304999999998,620,1506.7197500000002,2110,1456.79225,2900,1294.57275,100,954.9732500000001,640,1121.6709999999998,2070,1059.5249999999996,2590,999.26925
open,0,1862.6875,400,1967.45375,2000,1916.9304999999995,2210,1881.58975,-10,1261.055,430,1334.6822499999998,1630,1303.94625,2240,1237.7689999999998,-10,969.6422500000001,470,1015.5987499999995,1590,1000.6279999999999,2225,971.2355
down,0,1842.9117500000002,560,2011.2399999999993,1800,1932.7042499999998,2070,1891.7885,0,1211.4765,560,1506.9907500000004,1660,1464.425,2250,1297.2225,120,954.5260000000001,580,1114.5604999999998,1440,1082.9899999999998,2070,1003.5555
open,0,1856.0315000000005,410,1976.2077499999996,1970,1936.6627499999997,2200,1896.87325,0,1245.58575,490,1346.953,1760,1313.6080000000002,2450,1231.5305,50,970.9164999999999,480,1016.4309999999999,1640,1006.3312499999997,2200,971.1537499999997
down,0,1852.3102499999998,590,2006.0424999999998,2300,1952.3402499999993,3040,1879.2492499999998,0,1208.616,580,1509.1252500000003,2460,1473.2780000000002,3150,1294.7985,30,950.452,590,1117.6799999999998,2140,1091.2705,2930,1002.14775
open,0,1846.5315000000003,560,1998.6562499999998,1780,1969.0192499999994,2240,1892.8374999999999,40,1254.08575,500,1358.0209999999997,1700,1328.9277499999998,2240,1247.7085000000002,40,967.7167499999999,580,1032.32925,1730,1017.4772499999998,2290,974.6567500000001
down,0,1855.0170000000003,500,1992.2377499999993,1760,1946.0304999999996,1980,1918.1784999999995,-130,1211.7630000000001,420,1490.4865000000007,1840,1457.6919999999998,2470,1286.9764999999998,-40,956.76025,530,1091.6977499999998,1580,1068.4665000000002,2390,987.3830000000003
open,0,1852.1572500000002,500,1994.0404999999994,1870,1947.5875,2570,1857.3982500000002,0,1243.9857500000003,490,1341.10025,1750,1299.89325,2570,1229.212,90,968.3084999999999,490,1005.3710000000001,1740,980.6457500000001,2150,960.6660000000002
