0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
up,0,1896.1982499999997,510,2128.8157499999998,1850,2109.87525,2270,1988.0382499999996,60,1237.0489999999998,320,1256.1924999999997,1780,1241.89625,1990,1222.8207499999999,-20,945.7867500000001,500,1051.8459999999995,1800,1038.3774999999998,2370,965.4137500000003
down,0,1941.24925,480,2133.9452499999998,1740,2086.1242499999994,2330,1974.5902499999993,-70,1186.7224999999999,480,1537.59775,1790,1510.4045000000003,2490,1289.258,30,949.2517499999999,500,1040.3527499999998,1690,1028.1504999999997,2290,974.3055000000002
up,0,1939.26775,490,2147.4559999999997,2330,2085.8504999999996,2890,1978.9597499999995,90,1240.0387500000002,450,1273.1939999999997,2310,1227.2925000000002,2860,1206.2040000000002,-40,955.42475,490,1053.5534999999998,2290,1020.1367499999999,2830,965.3322499999998
down,0,1937.11025,410,2128.586499999999,1850,2071.1175,2110,2020.8542499999994,-140,1188.69025,410,1551.1974999999998,1920,1514.06075,2750,1287.7475000000002,-60,948.0599999999998,420,1040.994,1850,1010.7162499999997,2350,970.0347499999998
up,0,1915.29425,540,2145.431999999999,2170,2081.7529999999992,2570,1985.8469999999995,-15,1260.9787499999998,540,1272.5612499999997,1750,1248.5392500000005,2620,1203.7102499999994,-30,949.2555,540,1057.3612499999995,2100,1029.4889999999998,2670,967.318
down,0,1937.7019999999998,450,2101.2332499999998,1890,2080.9354999999996,2410,1959.7785000000001,-130,1192.8335000000004,470,1542.5275000000001,2010,1520.9832500000002,2690,1289.6542499999998,30,951.4309999999998,470,1025.6684999999998,1890,1024.7457499999996,2470,965.6517499999997
up,0,1911.533,500,2143.9532499999996,2180,2082.2454999999995,2690,1963.0342500000008,120,1240.6170000000004,370,1261.58925,1750,1244.4434999999999,2580,1210.9855,-80,946.2352499999997,490,1054.79125,2140,1038.607,2640,969.0290000000005
down,0,1918.6452500000003,520,2101.4019999999996,2050,2056.780749999999,2500,1957.2792500000005,-30,1192.4089999999999,510,1545.0097500000002,2060,1516.9720000000002,2730,1316.0644999999997,-10,947.488,520,1062.8935,1900,1050.0839999999996,2530,976.62375
up,0,1907.24325,570,2113.2407499999986,2240,2070.3242499999997,2760,1951.11275,15,1256.38075,580,1260.971,2225,1222.4612500000003,2790,1232.1975,30,957.6112499999999,590,1083.21475,2210,1053.4334999999999,2820,976.5912499999998
down,0,1901.2087499999993,520,2133.2452499999986,2230,2040.3794999999996,2630,1939.4657499999998,-30,1200.0965,520,1557.6392500000004,2140,1500.9405000000006,2830,1296.1950000000002,-30,955.379,530,1083.8807499999998,2130,1030.6115,2660,983.4392500000001
