0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
down,0,1902.96525,495,2099.6899999999996,1535,2063.2462499999992,2115,1959.4122499999996,-15,1192.8660000000002,475,1507.033,1715,1466.2329999999997,2555,1264.8925,15,967.8507500000001,525,1079.158,1565,1054.82875,2145,999.55025
down,0,1921.1437499999997,460,2061.4174999999996,670,2041.3779999999988,2070,1934.874,10,1248.7669999999998,455,1492.7372500000001,600,1480.4255,2030,1310.5662499999996,20,978.9285000000001,450,1057.3014999999998,530,1055.5907499999998,1990,993.68625
down,0,1912.6819999999996,540,2044.5512499999993,1860,2004.0469999999993,2270,1951.4734999999998,-120,1230.7655,460,1461.418,1990,1423.1274999999998,2690,1261.3022499999997,0,976.76625,460,1039.0534999999995,1870,1025.0982500000002,2430,983.4237499999998
down,0,1915.2537500000003,450,2034.7919999999995,1630,1998.0054999999995,1810,1974.578,-10,1237.9694999999995,430,1480.0037500000005,1700,1442.9657499999996,2240,1283.3872499999995,-20,970.1067499999999,430,1058.5067499999996,1560,1039.4875,2070,992.6687500000003
down,0,1916.8997500000005,460,2036.7657499999991,1670,1992.7539999999997,2000,1948.015,-40,1240.1074999999998,430,1485.8847500000006,1710,1451.3147499999998,2340,1279.83975,0,977.7105000000001,460,1056.747,1590,1035.6234999999997,2160,987.7922500000001
down,0,1901.7587499999997,440,2001.8074999999994,1660,1966.0652499999999,2010,1924.8084999999996,-120,1231.9644999999998,430,1456.04325,1710,1417.4139999999998,2420,1258.1692500000001,20,972.2067499999999,460,1021.1780000000001,1610,1002.8904999999997,2050,980.5799999999999
down,0,1906.5382499999996,440,1992.9084999999993,1630,1970.0959999999993,1790,1958.4124999999997,-90,1229.2715000000003,420,1431.4454999999996,1810,1411.6585,2470,1264.7867499999998,-10,965.50825,460,1010.82625,1800,1002.7715,2210,973.5334999999998
down,0,1901.031,440,2000.6087499999994,1815,1959.2259999999997,2345,1919.8905000000002,-80,1221.6545000000003,450,1458.29175,1810,1419.80025,2470,1260.387,40,961.4295000000001,500,1036.1107499999996,1820,1006.488,2220,978.5885000000001
down,0,1897.2467499999996,430,1979.8099999999997,1980,1933.669,2440,1897.6375000000003,-90,1225.7317500000001,430,1428.8935,1960,1386.1727499999997,2530,1257.0382500000005,-40,962.10525,460,1012.8134999999997,2000,986.7485,2350,969.4554999999999
down,0,1893.3017500000003,430,1966.6224999999995,1825,1943.1559999999995,2000,1923.7995,-50,1219.6494999999998,420,1426.1644999999999,1850,1403.2285000000004,2480,1260.1602500000001,-10,957.84525,460,1007.2432500000002,1800,997.8054999999999,1990,986.28625
down,0,1909.5307500000001,300,1957.86425,1220,1947.2484999999997,1510,1916.7929999999997,-240,1221.47275,320,1426.2122499999996,1310,1403.0544999999997,2000,1255.5435000000004,-170,953.1427499999999,330,1007.4752500000001,1230,1002.4214999999999,1500,984.293
